"country","mention of climate"
"AFG",0
"AGO",4
"ALB",5
"AND",17
"ARE",10
"ARG",2
"ARM",1
"ATG",18
"AUS",18
"AUT",3
"AZE",2
"BDI",7
"BEL",2
"BEN",6
"BFA",12
"BGD",44
"BGR",9
"BHR",6
"BHS",14
"BIH",6
"BLR",9
"BLZ",23
"BOL",8
"BRA",11
"BRB",25
"BRN",4
"BTN",16
"BWA",25
"CAF",8
"CAN",2
"CHE",5
"CHL",4
"CHN",8
"CIV",11
"CMR",1
"COD",9
"COG",18
"COL",4
"COM",11
"CPV",20
"CRI",9
"CUB",8
"CYP",5
"CYP",5
"CZE",4
"DEU",18
"DJI",6
"DMA",42
"DNK",19
"DOM",5
"DZA",7
"ECU",14
"EGY",2
"ERI",0
"ESP",9
"EST",7
"ETH",10
"FIN",15
"FJI",12
"FRA",11
"FSM",61
"GAB",19
"GBR",7
"GEO",1
"GHA",13
"GIN",7
"GMB",19
"GNB",10
"GNQ",3
"GRC",7
"GRD",41
"GTM",17
"GUY",47
"HND",3
"HRV",8
"HTI",5
"HUN",7
"IDN",15
"IND",8
"IRL",12
"IRN",1
"IRQ",2
"ISL",16
"ISR",0
"ITA",5
"JAM",23
"JOR",0
"JPN",5
"KAZ",4
"KEN",11
"KGZ",15
"KHM",41
"KIR",72
"KNA",23
"KOR",15
"KWT",8
"LAO",4
"LBN",0
"LBR",3
"LBY",0
"LCA",34
"LIE",2
"LKA",5
"LSO",15
"LTU",3
"LUX",20
"LVA",10
"MAR",2
"MCO",12
"MDA",5
"MDG",6
"MDV",26
"MEX",28
"MHL",41
"MKD",14
"MLI",6
"MLT",14
"MMR",20
"MNE",16
"MNG",21
"MOZ",14
"MRT",4
"MUS",46
"MWI",22
"MYS",5
"NAM",14
"NER",11
"NGA",3
"NIC",15
"NLD",5
"NOR",11
"NPL",24
"NRU",69
"NZL",17
"OMN",1
"PAK",11
"PAN",5
"PER",13
"PHL",9
"PLW",47
"PNG",22
"POL",13
"PRK",2
"PRT",6
"PRY",11
"PSE",2
"QAT",6
"ROU",5
"RUS",1
"RWA",2
"SAU",0
"SDN",25
"SEN",4
"SGP",5
"SLB",29
"SLE",3
"SLV",7
"SMR",12
"SOM",3
"SSD",6
"STP",18
"SUR",13
"SVK",3
"SVN",9
"SWE",14
"SWZ",10
"SYC",20
"SYR",3
"TCD",6
"TGO",8
"THA",10
"TJK",17
"TKM",13
"TLS",3
"TON",26
"TTO",21
"TUN",11
"TUR",3
"TUV",65
"TZA",4
"UGA",0
"UKR",3
"URY",11
"USA",4
"UZB",1
"VAT",3
"VCT",25
"VEN",6
"VNM",9
"VUT",38
"WSM",58
"YEM",6
"YUG",19
"ZAF",7
"ZMB",15
"ZWE",5
